length,width,height,image_url,path
4.0,4.0,5.0,https://m.media-amazon.com/images/I/31Tki5TJuvL.AC.jpg,images\image_00000.jpg
2.755905511811023,2.755905511811023,5.118110236220472,https://m.media-amazon.com/images/I/415QIAwdRML.AC.jpg,images\image_00001.jpg
4.2,4.2,8.3,https://m.media-amazon.com/images/I/418R2lzv8-L.AC.jpg,images\image_00002.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/419JJY3AZ2L.AC.jpg,images\image_00003.jpg
2.755905511811023,2.755905511811023,6.299212598425196,https://m.media-amazon.com/images/I/41AHGLia9IL.AC.jpg,images\image_00004.jpg
6.69,6.69,3.94,https://m.media-amazon.com/images/I/41AvjGJC34L.AC.jpg,images\image_00005.jpg
4.2,4.2,8.3,https://m.media-amazon.com/images/I/41B42V4-N-L.AC.jpg,images\image_00006.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/41gO0R1pMbL.AC.jpg,images\image_00007.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/41iNHMIm-TL.AC.jpg,images\image_00008.jpg
4.173228346456693,4.173228346456693,3.755905511811023,https://m.media-amazon.com/images/I/41m9OsoyHxL.AC.jpg,images\image_00009.jpg
6.1,6.1,3.3,https://m.media-amazon.com/images/I/41mdFbh10VL.AC.jpg,images\image_00010.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/41QV9zicLGL.AC.jpg,images\image_00011.jpg
6.1,6.1,3.3,https://m.media-amazon.com/images/I/41tJYPpi3nL.AC.jpg,images\image_00012.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/41VCCN1xzGL.AC.jpg,images\image_00013.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/41x1aSW56nL.AC.jpg,images\image_00014.jpg
6.634,6.634,4.76,https://m.media-amazon.com/images/I/41YynR04fjL.AC.jpg,images\image_00015.jpg
3.8,3.8,4.8,https://m.media-amazon.com/images/I/51-UVGdjdKL.AC.jpg,images\image_00016.jpg
5.1,5.1,5.9,https://m.media-amazon.com/images/I/511EgkUSaAL.AC.jpg,images\image_00017.jpg
4.7,4.7,5.8,https://m.media-amazon.com/images/I/51aCTT-czYL.AC.jpg,images\image_00018.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/51AJwrTngaL.AC.jpg,images\image_00019.jpg
5.1,1.65,5.98,https://m.media-amazon.com/images/I/51bao3WUQ8L.AC.jpg,images\image_00020.jpg
4.0,4.0,5.1,https://m.media-amazon.com/images/I/51BTf4hwSGS.AC.jpg,images\image_00021.jpg
5.1,5.1,5.9,https://m.media-amazon.com/images/I/51FaY+Lj-FL.AC.jpg,images\image_00022.jpg
4.5,4.5,4.7,https://m.media-amazon.com/images/I/51gnED9aJIL.AC.jpg,images\image_00023.jpg
4.0,4.0,5.1,https://m.media-amazon.com/images/I/51KQa3nptvL.AC.jpg,images\image_00024.jpg
3.8,3.8,4.8,https://m.media-amazon.com/images/I/51kYogHONBL.AC.jpg,images\image_00025.jpg
4.0,4.0,5.1,https://m.media-amazon.com/images/I/51R8JarESES.AC.jpg,images\image_00026.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/51szbSbWyIL.AC.jpg,images\image_00027.jpg
3.9,3.9,4.7,https://m.media-amazon.com/images/I/51tIAd3DBWL.AC.jpg,images\image_00028.jpg
4.0,4.0,5.1,https://m.media-amazon.com/images/I/51w6UOlg5gL.AC.jpg,images\image_00029.jpg
4.45,4.45,4.8,https://m.media-amazon.com/images/I/51wGqa3dH+L.AC.jpg,images\image_00030.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/51WO8uukiEL.AC.jpg,images\image_00031.jpg
4.2,4.2,8.3,https://m.media-amazon.com/images/I/51WUz5G-R+L.AC.jpg,images\image_00032.jpg
4.5,4.5,5.8,https://m.media-amazon.com/images/I/61-5kwsTwtL.AC.jpg,images\image_00033.jpg
4.0,4.0,5.5,https://m.media-amazon.com/images/I/613U84DG5xS.AC.jpg,images\image_00034.jpg
4.49,4.49,4.56,https://m.media-amazon.com/images/I/617pvO9ho7L.AC.jpg,images\image_00035.jpg
3.6,3.6,6.0,https://m.media-amazon.com/images/I/61bXwlaPAEL.AC.jpg,images\image_00036.jpg
5.905511811023621,5.905511811023621,4.330708661417322,https://m.media-amazon.com/images/I/61E7S23Y+-L.AC.jpg,images\image_00037.jpg
4.0,4.0,5.1,https://m.media-amazon.com/images/I/61encsNdfRS.AC.jpg,images\image_00038.jpg
6.634,6.634,4.76,https://m.media-amazon.com/images/I/61JQrKdlUAL.AC.jpg,images\image_00039.jpg
6.2204724409448815,6.2204724409448815,8.818897637795274,https://m.media-amazon.com/images/I/61kKcgoV3bL.AC.jpg,images\image_00040.jpg
3.9,3.9,5.5,https://m.media-amazon.com/images/I/61KPqvESQLL.AC.jpg,images\image_00041.jpg
6.634,6.634,4.76,https://m.media-amazon.com/images/I/61lhYZQBpoS.AC.jpg,images\image_00042.jpg
3.74015748031496,3.74015748031496,4.724409448818897,https://m.media-amazon.com/images/I/61mB49FlgeL.AC.jpg,images\image_00043.jpg
5.905511811023621,5.905511811023621,4.330708661417322,https://m.media-amazon.com/images/I/61MMYGY87rL.AC.jpg,images\image_00044.jpg
4.5,4.5,6.1,https://m.media-amazon.com/images/I/61NawnleJvS.AC.jpg,images\image_00045.jpg
4.5,4.5,6.1,https://m.media-amazon.com/images/I/61nOV6thePS.AC.jpg,images\image_00046.jpg
2.36,2.36,5.51,https://m.media-amazon.com/images/I/61P3JCQ2MnS.AC.jpg,images\image_00047.jpg
5.1,5.1,5.9,https://m.media-amazon.com/images/I/61pzziR0C6L.AC.jpg,images\image_00048.jpg
4.5,4.5,5.4,https://m.media-amazon.com/images/I/61RbLfNvYuL.AC.jpg,images\image_00049.jpg
5.19,5.19,5.19,https://m.media-amazon.com/images/I/61s3G70qQ4L.AC.jpg,images\image_00050.jpg
5.1,1.65,5.98,https://m.media-amazon.com/images/I/61S6QHGDJ8L.AC.jpg,images\image_00051.jpg
3.3,3.3,5.6,https://m.media-amazon.com/images/I/61SvTnZSmWL.AC.jpg,images\image_00052.jpg
5.1,5.1,9.0,https://m.media-amazon.com/images/I/61vN20jkk0L.AC.jpg,images\image_00053.jpg
5.1,5.1,3.8,https://m.media-amazon.com/images/I/61wpgTnEa0L.AC.jpg,images\image_00054.jpg
3.5,3.5,5.5,https://m.media-amazon.com/images/I/61XB77QjK3L.AC.jpg,images\image_00055.jpg
4.0,4.0,5.1,https://m.media-amazon.com/images/I/61Yc2NB-OWL.AC.jpg,images\image_00056.jpg
